證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"6533","晶心科","814075","341550906","413.50","423.00","413.50","422.00","12.0000","1192"
"6534","正瀚-創","62100","5145200","83.60","83.90","82.30","82.70","-1.6000","49"
"6541","泰福-KY","49223","2063570","42.30","42.70","41.55","42.00","0.1500","76"
"6550","北極星藥業-KY","804611","57602735","71.50","72.30","71.20","71.40","-0.5000","876"
"6552","易華電","6459104","379627064","55.30","61.40","54.10","59.50","3.6000","5215"
"6558","興能高","107431","2671069","24.90","25.30","24.75","24.75","-0.1500","96"
"6573","虹揚-KY","84652","1191592","14.40","14.40","14.00","14.00","0.0500","46"
"6579","研揚","787183","142029822","184.50","184.50","177.50","177.50","-5.0000","5212"
"6581","鋼聯","47832","4947281","103.50","104.50","103.00","103.50","0.0000","290"
"6582","申豐","116228","6071222","52.90","52.90","52.10","52.10","-0.3000","187"
"6585","鼎基","373178","68340980","181.50","186.00","181.00","183.00","3.0000","479"
"6591","動力-KY","362416","22395143","62.20","62.50","61.50","61.60","-0.4000","660"
"6592","和潤企業","414756","45916288","111.50","111.50","110.00","111.00","0.0000","539"
"6592A","和潤企業甲特","3443","340118","98.60","99.00","98.60","99.00","0.2000","29"
"6592B","和潤企業乙特","12722","1215167","95.40","95.60","95.40","95.60","0.0000","20"
"6598","ABC-KY","120161","2426916","20.35","20.40","19.90","20.20","-0.0500","73"
"6605","帝寶","1136008","268253597","240.00","242.00","233.00","235.50","-6.5000","11074"
"6606","建德工業","239389","6600395","27.15","28.00","27.15","27.80","0.6500","153"
"6625","必應","3130312","316268319","106.00","107.50","98.00","98.30","-5.2000","2695"
"6641","基士德-KY","6000","246700","41.20","41.20","41.10","41.10","-0.1000","6"
"6645","金萬林-創","57050","2113197","37.30","37.30","36.90","36.95","-0.1000","33"
"6655","科定","11035","1359827","123.50","126.50","122.50","123.00","-0.5000","12"
"6657","華安","249206","12461247","50.80","50.80","49.70","49.95","-0.8500","186"
"6658","聯策","328645","16036000","49.80","49.80","48.20","48.65","0.8500","322"
"6666","羅麗芬-KY","20002","1248424","62.60","62.70","62.20","62.20","-0.1000","21"
"6668","中揚光","1869100","117937064","64.30","64.40","62.10","62.10","-1.6000","1524"
"6669","緯穎","1808987","4894907270","2655.00","2745.00","2655.00","2715.00","105.0000","3648"
"6670","復盛應用","261249","77789731","299.00","303.00","295.00","297.00","-2.0000","514"
"6671","三能-KY","24000","1092150","45.55","45.60","45.50","45.50","0.0000","9"
"6672","騰輝電子-KY","158241","13062505","82.90","82.90","82.20","82.50","0.1000","159"
"6674","鋐寶科技","125178","3417066","27.75","27.75","26.90","27.05","-0.7000","118"
"6689","伊雲谷","4411024","479368538","110.00","113.00","105.00","108.00","-3.0000","3613"
"6691","洋基工程","774343","332306119","419.50","438.50","419.00","427.50","7.5000","1102"
"6695","芯鼎","2008293","139137151","71.00","71.00","68.00","69.00","-0.9000","1764"
"6698","旭暉應材","133930","4859262","36.30","36.65","36.15","36.25","0.0500","133"
"6706","惠特","5062884","456245902","89.60","92.10","88.20","90.70","1.2000","4692"
"6715","嘉基","678688","123695306","179.50","186.00","178.00","180.50","4.0000","1515"
"6719","力智","1047612","309819815","292.50","298.50","292.50","297.00","7.0000","1357"
"6742","澤米","1124679","80505815","69.50","73.90","69.50","70.20","2.3000","874"
"6743","安普新","332915","19567678","58.80","59.30","58.30","58.60","-0.1000","304"
"6753","龍德造船","842355","99958560","120.00","120.00","117.00","119.00","0.5000","795"
"6754","匯僑設計","37138","2400384","64.80","64.90","64.40","64.50","-0.1000","37"
"6756","威鋒電子","147828","29777786","199.00","203.00","199.00","202.50","3.0000","496"
"6757","台灣虎航-創","1029380","51348420","51.00","51.00","49.05","49.25","-1.1500","526"
"6768","志強-KY","444633","41505824","94.50","94.50","92.20","93.90","-0.8000","657"
"6770","力積電","63422843","1674657895","26.00","26.75","26.00","26.20","0.9500","21998"
"6771","平和環保-創","28131","1907403","68.10","68.10","67.20","67.20","-0.9000","23"
"6776","展碁國際","73394","4630332","63.00","63.30","62.80","63.10","0.2000","74"
"6781","AES-KY","238378","148656683","618.00","631.00","610.00","631.00","18.0000","390"
"6782","視陽","639265","175669779","279.50","279.50","270.50","275.00","-4.5000","3755"
"6789","采鈺","13749065","4562129839","313.00","342.00","312.00","340.00","29.0000","19621"
"6790","永豐實","239216","12439973","52.20","52.40","51.90","51.90","0.0000","191"
"6792","詠業","20159","1640366","81.70","81.70","81.10","81.30","0.4000","50"
"6794","向榮生技-創","25000","2063400","84.40","84.40","81.90","83.20","-0.6000","19"
"6796","晉弘","70074","5781461","82.60","83.70","82.10","82.10","-0.1000","90"
"6799","來頡","1340431","200376644","144.00","152.50","144.00","152.00","10.0000","1448"
"6805","富世達","7464409","6020120678","805.00","828.00","772.00","803.00","6.0000","8781"
"6806","森崴能源","1850505","241549733","130.00","132.00","128.50","130.50","2.5000","1920"
"6807","峰源-KY","273012","16589284","61.10","61.90","59.60","61.90","0.8000","373"
"6830","汎銓","204001","28030342","139.50","139.50","136.00","137.50","0.0000","207"
"6834","天二科技","3626557","146631747","41.30","42.50","38.40","40.00","-0.5500","2491"
"6835","圓裕","159200","8362857","52.60","53.20","51.60","53.20","0.7000","108"
"6854","錼創科技-KY創","19000","1444200","76.00","76.20","75.80","75.80","-0.2000","17"
"6861","睿生光電","88078","6563004","75.30","75.30","74.00","74.10","-1.1000","101"
"6863","永道-KY","1073615","238843568","223.50","229.00","215.50","226.50","5.0000","2233"
"6869","雲豹能源-創","378100","48558400","129.00","130.50","127.50","128.00","-1.0000","252"
"6873","泓德能源-創","101128","16996876","166.00","169.50","166.00","168.00","3.0000","90"
"6890","來億-KY","7869075","1505234342","176.00","216.00","175.00","216.00","32.0000","8072"
"6901","鑽石投資","2511378","100819206","40.25","40.65","39.70","39.85","-0.2500","1215"
"6902","走著瞧-創","15050","2543750","160.00","172.00","160.00","169.00","9.0000","15"
"6906","現觀科","107799","16472762","156.50","156.50","151.50","154.00","-1.0000","323"
"6914","阜爾運通","630039","102052154","168.50","168.50","159.50","161.50","-5.0000","949"
"6916","華凌","738379","21259638","27.75","29.05","27.75","29.05","2.6000","400"
"6928","攸泰科技","137607","10765418","79.30","79.30","78.10","78.10","-0.5000","187"
"6933","AMAX-KY","173726","58740261","337.50","340.50","336.00","337.50","1.5000","346"
"6937","天虹","100412","19979852","197.50","201.50","197.50","198.50","2.0000","134"
"6949","沛爾生醫-創","29000","3678500","125.50","130.00","125.50","126.50","0.5000","24"
"6952","大武山","1559406","81626591","50.20","54.90","49.50","53.10","0.0000","1010"
"8011","台通","1959114","44682984","22.60","23.20","22.45","23.00","0.5000","1134"
"8016","矽創","1322907","371836977","276.00","283.00","276.00","279.50","4.0000","2168"
"8021","尖點","1109832","35930431","32.80","32.95","32.10","32.35","-0.4500","1135"
"8028","昇陽半導體","62092947","4574266896","71.00","77.50","68.60","77.50","7.0000","38278"
"8033","雷虎","1803098","121789856","68.00","68.50","66.60","68.00","0.0000","2760"
"8039","台虹","15314835","899315797","58.10","59.30","57.40","58.90","2.2000","6275"
"8046","南電","1911748","370238563","193.00","195.00","192.50","194.00","3.0000","2109"
"8070","長華*","3338961","172727412","52.00","52.30","51.30","51.50","-0.4000","2793"
"8072","陞泰","123693","3528877","28.40","28.65","28.35","28.65","0.3000","127"
"8081","致新","390746","122334279","311.00","314.50","311.00","313.00","2.0000","670"
"8101","華冠","49372","175267","3.55","3.55","3.55","3.55","0.0000","34"
"8103","瀚荃","5255106","278428561","51.00","54.20","51.00","53.50","2.5000","3096"
"8104","錸寶","288951","9914815","34.30","34.55","34.15","34.55","0.4000","295"
"8105","凌巨","1018772","14195419","13.95","14.00","13.90","13.95","0.1000","566"
"8110","華東","18529418","364087823","19.10","20.00","18.85","19.75","0.8000","7222"
"8112","至上","5929243","503797878","85.80","85.80","84.50","84.80","-0.4000","5437"
"8112A","至上甲特","39288","1705495","43.35","43.45","43.35","43.40","0.0500","41"
"8114","振樺電","1390300","225762722","160.50","166.00","158.50","162.00","3.0000","1511"
"8131","福懋科","222454","8608602","38.65","38.85","38.60","38.60","-0.0500","162"
"8150","南茂","2856434","126958430","43.95","44.65","43.95","44.40","0.6000","1816"
"8162","微矽電子-創","100100","3819160","37.50","39.90","37.50","38.50","0.7000","39"
"8163","達方","1338547","91635012","68.90","69.00","68.00","69.00","0.1000","1004"
"8201","無敵","254783","4827083","18.50","19.40","18.50","18.75","0.4500","188"
"8210","勤誠","3702823","1127382462","308.00","310.00","301.50","301.50","-5.5000","5671"
"8213","志超","600903","23085929","38.60","38.60","38.30","38.35","-0.0500","481"
"8215","明基材","556719","18145851","32.65","32.70","32.50","32.60","-0.0500","479"
"8222","寶一","373278","16295419","43.55","43.90","43.35","43.75","0.5500","346"
"8249","菱光","114905","3322861","28.90","29.10","28.80","28.90","0.0500","123"
"8261","富鼎","352485","29140672","81.80","83.40","81.80","82.60","0.8000","327"
"8271","宇瞻","781681","52892202","67.40","68.00","67.30","67.80","1.1000","690"
"8341","日友","74987","7317531","98.50","98.50","97.20","97.80","0.2000","292"
"8367","建新國際","57305","2819727","49.25","49.50","49.05","49.10","0.0000","48"
"8374","羅昇","1617415","111993829","66.60","72.90","66.60","68.20","1.9000","1126"
"8404","百和興業-KY","409389","8549034","21.00","21.10","20.75","20.80","-0.3500","271"
"8411","福貞-KY","30543","428898","14.10","14.10","14.00","14.00","-0.1500","120"
"8422","可寧衛","274458","52565449","192.00","192.50","190.50","190.50","-0.5000","345"
"8429","金麗-KY","356626","3577861","10.25","10.25","9.95","10.00","-0.2000","337"
"8438","昶昕","663675","27104799","41.00","41.55","40.20","40.20","0.1500","566"
"8442","威宏-KY","196277","23333838","118.50","120.00","117.50","118.50","-0.5000","135"
"8443","阿瘦","86637","1048927","12.10","12.15","12.05","12.15","0.0500","245"
"8454","富邦媒","885370","378073445","426.50","430.50","424.50","424.50","0.5000","1909"
"8462","柏文","57117","6839614","119.50","123.00","119.00","119.50","-1.5000","183"
"8463","潤泰材","185410","5324100","28.60","28.90","28.35","28.80","0.1500","131"
"8464","億豐","818877","305468069","372.50","384.50","367.50","372.50","-3.0000","959"
"8466","美吉吉-KY","1239071","79867933","60.90","66.70","60.80","66.30","5.6000","733"
"8467","波力-KY","92620","15135478","163.00","164.50","162.00","163.50","1.0000","76"
"8473","山林水","613899","24633934","39.60","40.55","39.60","40.35","0.8000","449"
"8476","台境","198769","11874351","58.50","60.50","58.50","60.20","1.8000","171"
"8478","東哥遊艇","167291","62172633","372.50","374.00","369.50","372.00","1.5000","311"
"8481","政伸","35522","1966833","55.70","55.70","55.20","55.40","-0.3000","64"
"8482","商億-KY","6000","380700","63.30","64.00","63.20","63.30","0.1000","5"
"8487","愛爾達-創","8000","644300","80.20","81.10","80.20","80.80","0.0000","7"
"8488","吉源-KY","28000","445900","15.95","16.00","15.80","15.95","-0.0500","19"
"8499","鼎炫-KY","42680","5319664","125.50","125.50","124.00","124.50","-0.5000","259"
"8926","台汽電","1073421","50025367","46.70","46.90","46.35","46.60","-0.0500","3288"
"8940","新天地","104682","2690542","25.80","26.05","25.55","25.80","0.0000","108"
"8996","高力","599270","290333283","485.00","488.00","478.50","487.00","9.0000","651"
"9103","美德醫療-DR","1234947","8593186","6.97","7.08","6.88","6.93","0.0300","502"
"910322","康師傅-DR","52537","1002042","18.65","19.25","18.65","19.20","0.5500","101"
"9105","泰金寶-DR","65492626","322620878","4.76","5.04","4.75","4.92","0.3300","9416"
"910861","神州-DR","89877","623295","6.90","7.00","6.90","6.93","0.0100","41"
"9110","越南控-DR","12000","79130","6.59","6.60","6.59","6.60","0.0100","6"
"911608","明輝-DR","144000","512830","3.53","3.65","3.52","3.60","-0.0500","59"
"911622","泰聚亨-DR","","","","","","","0.0000",""
"911868","同方友友-DR","848271","1095337","1.30","1.31","1.28","1.30","0.0000","98"
"912000","晨訊科-DR","4750571","14406305","3.08","3.11","2.97","3.05","-0.1200","896"
"9136","巨騰-DR","235000","1498000","6.38","6.40","6.36","6.40","0.0200","69"
"9802","鈺齊-KY","290474","37519915","131.50","131.50","128.50","129.50","-0.5000","309"
"9902","台火","760620","12657469","16.85","16.90","16.50","16.50","-0.3500","467"
"9904","寶成","9697127","357507528","37.00","37.50","36.65","36.75","0.2000","4422"
"9905","大華","66450","1618416","24.40","24.45","24.30","24.35","0.0500","60"
"9906","欣巴巴","211350","18270107","86.20","87.70","85.10","86.50","0.6000","215"
"9907","統一實","1953943","29738688","15.20","15.30","15.10","15.25","0.1500","663"
"9908","大台北","79627","2574228","32.35","32.40","32.30","32.35","0.0500","88"
"9910","豐泰","1323702","211976927","162.00","162.50","159.00","159.00","-1.5000","1183"
"9911","櫻花","434542","37152670","85.00","86.00","84.70","85.50","0.6000","487"
"9912","偉聯","140677","1840156","13.20","13.20","13.00","13.00","-0.1000","123"
"9914","美利達","497664","116850624","236.00","236.50","233.00","236.50","4.0000","940"
"9917","中保科","299667","37912509","127.00","127.50","125.50","126.50","-0.5000","396"
"9918","欣天然","9263","381240","41.10","41.20","41.05","41.15","0.2000","24"
"9919","康那香","4899832","111211628","22.05","23.10","22.05","22.95","0.9000","1854"
"9921","巨大","1905782","412084786","219.00","219.00","215.00","216.50","0.0000","2007"
"9924","福興","783608","41621878","52.60","53.60","52.60","52.80","0.1000","633"
"9925","新保","218522","9230887","42.40","42.40","42.20","42.35","0.1000","131"
"9926","新海","5532","299437","54.10","54.10","54.00","54.10","0.2000","17"
"9927","泰銘","233209","18371258","78.50","79.00","78.50","79.00","0.5000","233"
"9928","中視","114077","2534257","22.95","22.95","22.00","22.00","-0.4500","135"
"9929","秋雨","11295","179581","15.80","16.15","15.80","16.15","-0.2000","9"
"9930","中聯資源","170080","11197901","65.50","66.20","65.50","66.20","0.9000","158"
"9931","欣高","37057","1387977","37.60","37.60","37.30","37.50","-0.1000","26"
"9933","中鼎","3316810","162185780","48.80","49.15","48.40","49.05","0.4000","2704"
"9934","成霖","867578","16991899","19.60","19.70","19.50","19.60","0.0500","450"
"9935","慶豐富","410418","10691699","26.35","26.45","25.70","25.70","-0.4500","384"
"9937","全國","8104","541014","67.00","67.00","66.50","66.70","0.0000","13"
"9938","百和","2675596","179699934","68.40","68.40","66.30","67.00","-1.5000","1805"
"9939","宏全","787773","128758581","162.50","165.00","162.00","164.00","1.5000","726"
"9940","信義","827705","25806773","31.20","31.45","31.05","31.15","-0.3000","794"
"9941","裕融","2138115","337731806","158.00","159.00","156.50","157.00","0.5000","2680"
"9941A","裕融甲特","12557","641869","51.10","51.20","51.10","51.20","0.0000","16"
"9942","茂順","70015","8939224","127.50","128.00","127.50","128.00","0.5000","171"
"9943","好樂迪","86433","7772626","89.90","90.30","89.80","89.80","-0.1000","236"
"9944","新麗","325674","7366969","22.75","22.75","22.30","22.50","-0.4000","174"
"9945","潤泰新","11596887","524857916","44.60","45.85","44.50","45.05","0.7000","6130"
"9946","三發地產","3633937","155096098","41.90","43.35","41.85","42.85","1.0500","2205"
"9955","佳龍","807491","25739381","31.55","32.10","31.55","32.00","0.6500","559"
"9958","世紀鋼","17934003","6330567134","335.00","362.00","331.00","362.00","32.5000","12272"
